,cluster,city,year,hotspots_cuts_1_dest,flow_hierarchy_dest,mean_mob_div,% of areas,Fraction of areas
0,C2,San Antonio,2015,0.958974358974359,0.541742876577734,0.8589071678969759,0.04102564102564099,0.04102564102564099
1,C1,Austin,2015,0.9596774193548387,0.6842950261696048,0.8363783591458988,0.040322580645161255,0.040322580645161255
2,C2,Houston,2015,0.9845132743362832,0.5693755411323806,0.8289985747368201,0.015486725663716783,0.015486725663716783
3,C1,Corpus Christi,2015,0.902439024390244,0.781097290093292,0.8789370833446424,0.09756097560975596,0.09756097560975596
4,C2,New Orleans,2015,0.9245283018867924,0.633396345305608,0.7512960213318336,0.07547169811320764,0.07547169811320764
5,C2,Jacksonville,2015,0.9449541284403671,0.656763822041973,0.848508673090608,0.05504587155963292,0.05504587155963292
6,C2,Tampa,2015,0.9672131147540984,0.6168058026549883,0.8019152134052493,0.032786885245901565,0.032786885245901565
7,C1,Miami,2015,0.9113924050632912,0.7861166478897652,0.8569300219314476,0.08860759493670878,0.08860759493670878
8,C2,Boston,2015,0.9065420560747663,0.6201097156056011,0.7836457510917959,0.09345794392523366,0.09345794392523366
9,C1,Newark,2015,0.9183673469387756,0.7505707762557079,0.7905791721473068,0.08163265306122436,0.08163265306122436
10,C2,New York,2015,0.9793986636971048,0.5356911937291026,0.8419547824355895,0.02060133630289518,0.02060133630289518
11,C2,Philadelphia,2015,0.9411764705882352,0.6361087566016821,0.8324645266671598,0.05882352941176483,0.05882352941176483
12,C1,Virginia Beach,2015,0.8620689655172413,0.7501262838861762,0.8327612121219671,0.13793103448275867,0.13793103448275867
13,C1,Greensboro,2015,0.9333333333333332,0.7547806524184476,0.8763737268718608,0.06666666666666676,0.06666666666666676
14,C1,Raleigh,2015,0.8983050847457628,0.7007679180887373,0.8557840817525912,0.10169491525423724,0.10169491525423724
15,C1,Charlotte,2015,0.8859649122807017,0.6529247117984727,0.8446776687554054,0.11403508771929827,0.11403508771929827
16,C2,Columbus,2015,0.9604519774011301,0.5835577029469258,0.8303504930786754,0.039548022598869914,0.039548022598869914
17,C1,Knoxville,2015,0.94,0.7607551841535128,0.8339907499462262,0.06000000000000005,0.06000000000000005
18,C2,Detroit,2015,0.898936170212766,0.6309479205695017,0.7497960475122113,0.10106382978723405,0.10106382978723405
19,C1,Toledo,2015,0.913793103448276,0.7331643736422881,0.8696291740158498,0.08620689655172398,0.08620689655172398
20,C1,Atlanta,2015,0.9247311827956988,0.6923353293413175,0.8124339808252048,0.07526881720430123,0.07526881720430123
21,C1,Cincinnati,2015,0.9506172839506172,0.6898831627569968,0.8154042433460134,0.049382716049382824,0.049382716049382824
22,C1,Indianapolis,2015,0.8901734104046243,0.6803395850478626,0.8051624946092946,0.10982658959537572,0.10982658959537572
23,C2,Milwaukee,2015,0.9572649572649572,0.6339959932192942,0.8377110655139418,0.042735042735042805,0.042735042735042805
24,C2,Chicago,2015,0.9721059972105998,0.6311571136236797,0.727475477139477,0.02789400278940024,0.02789400278940024
25,C2,Memphis,2015,0.9449541284403671,0.5825319030885886,0.8171897377009102,0.05504587155963292,0.05504587155963292
26,C1,St. Louis,2015,0.7966101694915254,0.8162556443209448,0.8270138838324881,0.2033898305084746,0.2033898305084746
27,C1,Kansas City,2015,0.8867924528301887,0.6456148713060058,0.8671247877407977,0.1132075471698113,0.1132075471698113
28,C2,Tulsa,2015,0.96,0.6379463979710742,0.8668792686312629,0.040000000000000036,0.040000000000000036
29,C2,Dallas,2015,0.9301075268817204,0.6351582201252745,0.790295706546609,0.06989247311827962,0.06989247311827962
30,C2,Wichita,2015,0.9577464788732394,0.6400439864782307,0.8325716924643701,0.04225352112676062,0.04225352112676062
31,C1,Arlington,2015,0.8867924528301887,0.717881230465537,0.8315471164384057,0.1132075471698113,0.1132075471698113
32,C2,Fort Worth,2015,0.9322033898305084,0.6207246207246209,0.8231501397849316,0.06779661016949157,0.06779661016949157
33,C2,El Paso,2015,0.9615384615384616,0.5513249171926755,0.8536004695144056,0.038461538461538436,0.038461538461538436
34,C2,Colorado Springs,2015,0.9454545454545454,0.6519923820685614,0.8823671400017014,0.054545454545454564,0.054545454545454564
35,C1,Denver,2015,0.8571428571428571,0.763011679328722,0.8261523442835148,0.1428571428571429,0.1428571428571429
36,C1,Mesa,2015,0.9777777777777776,0.6973713772186027,0.8315099774494471,0.022222222222222365,0.022222222222222365
37,C2,Tucson,2015,0.945945945945946,0.6219207082371053,0.857767323308779,0.054054054054053946,0.054054054054053946
38,C2,San Diego,2015,0.9815668202764976,0.5390380348821162,0.7949724887417084,0.018433179723502446,0.018433179723502446
39,C1,Riverside,2015,0.92,0.7388235294117647,0.8622877049698492,0.07999999999999996,0.07999999999999996
40,C2,Phoenix,2015,0.955665024630542,0.4542086918452912,0.8617173913262507,0.04433497536945796,0.04433497536945796
41,C1,Chandler,2015,0.9487179487179488,0.7170923379174853,0.796231154682307,0.05128205128205121,0.05128205128205121
42,C1,Fresno,2015,0.934065934065934,0.7176742074600893,0.8956328354915771,0.06593406593406603,0.06593406593406603
